validation_rep	validation_fold	rf_model_name	rf_num_features	rf_auroc_mean	rf_auroc_stdv	rf_auprc_mean	rf_auprc_stdv	lr_model_name	lr_num_features	lr_auroc_mean	lr_auroc_stdv	lr_auprc_mean	lr_auprc_stdv
85	2	M1_rf	1	0.563	0.0271	0.755	0.0141	M1_lr	1	0.608	0.00647	0.777	0.00742
85	3	M0_rf	2	0.597	0.0417	0.836	0.0225	M1_lr	1	0.637	0.00523	0.862	0.00518
85	4	M2_rf	6	0.619	0.0216	0.796	0.0188	M7_lr	1	0.626	0.00541	0.805	0.00422
86	0	M3_rf	3	0.612	0.0238	0.814	0.0159	M5_lr	1	0.649	0.00675	0.826	0.00599
86	1	M0_rf	3	0.733	0.0244	0.879	0.0208	M0_lr	3	0.766	0.0154	0.906	0.00902
86	2	M3_rf	3	0.66	0.0263	0.844	0.0191	M5_lr	1	0.621	0.00571	0.846	0.00673
86	3	M1_rf	1	0.586	0.0277	0.782	0.014	M1_lr	1	0.606	0.00755	0.811	0.00855
86	4	M2_rf	3	0.643	0.0269	0.854	0.0183	M4_lr	1	0.6	0.0076	0.84	0.00696
87	0	M2_rf	2	0.639	0.0224	0.856	0.0171	M1_lr	3	0.637	0.0166	0.837	0.0131
87	1	M1_rf	3	0.602	0.0259	0.803	0.0205	M3_lr	1	0.654	0.00584	0.816	0.00749
87	2	M0_rf	2	0.582	0.0349	0.832	0.0166	M1_lr	1	0.573	0.0103	0.838	0.00704
87	3	M1_rf	2	0.626	0.027	0.831	0.0136	M2_lr	1	0.621	0.00433	0.85	0.00303
87	4	M0_rf	1	0.553	0.0288	0.737	0.0158	M0_lr	1	0.618	0.00918	0.751	0.00565
88	0	M1_rf	2	0.618	0.0253	0.835	0.0182	M2_lr	1	0.561	0.0115	0.826	0.0108
88	1	M0_rf	2	0.61	0.0285	0.848	0.0175	M1_lr	1	0.605	0.00536	0.846	0.00492
88	2	M5_rf	5	0.743	0.0182	0.874	0.0116	M6_lr	4	0.713	0.0179	0.836	0.0155
88	3	M1_rf	2	0.647	0.0198	0.857	0.0133	M0_lr	3	0.605	0.0124	0.836	0.00623
88	4	M2_rf	3	0.574	0.0229	0.788	0.0159	M4_lr	1	0.588	0.00549	0.793	0.00731
89	0	M0_rf	3	0.605	0.0295	0.811	0.0197	M1_lr	2	0.573	0.0135	0.796	0.00811
89	1	M8_rf	3	0.66	0.028	0.835	0.0177	M7_lr	4	0.684	0.00925	0.804	0.00976
89	2	M0_rf	1	0.407	0.0244	0.711	0.0126	M0_lr	1	0.571	0.00532	0.785	0.00527
89	3	M2_rf	3	0.643	0.0216	0.856	0.0146	M4_lr	1	0.648	0.00511	0.874	0.00308
89	4	M0_rf	1	0.605	0.0303	0.768	0.0145	M0_lr	1	0.695	0.0122	0.835	0.0089
90	0	M0_rf	2	0.627	0.0255	0.84	0.0114	M1_lr	1	0.651	0.00405	0.847	0.00629
90	1	M1_rf	1	0.688	0.0277	0.808	0.0121	M1_lr	1	0.608	0.00512	0.848	0.00359
90	2	M2_rf	3	0.667	0.0187	0.795	0.0124	M4_lr	1	0.711	0.00867	0.809	0.0103
90	3	M0_rf	2	0.507	0.0163	0.76	0.00852	M1_lr	1	0.561	0.00652	0.78	0.00746
90	4	M3_rf	3	0.613	0.0221	0.835	0.0159	M5_lr	1	0.61	0.00841	0.828	0.00827
91	0	M0_rf	1	0.604	0.0329	0.781	0.0147	M0_lr	1	0.588	0.0132	0.806	0.011
91	1	M0_rf	2	0.638	0.0261	0.855	0.0114	M1_lr	1	0.591	0.00487	0.85	0.00418
