dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GAD Gene-Disease Associations	gad	keratoconus	-0.0064606	1	1	0	-1		keratoconus
GAD Gene-Disease Associations	gad	suicide	0.052209	0.078679	1	0	1		suicide
GAD Gene-Disease Associations	gad	degenerative arthropathy ; osteoarthritis	-0.0089052	1	1	0	-1		degenerative arthropathy ; osteoarthritis
GAD Gene-Disease Associations	gad	glomerulonephritis, iga	-0.00087306	1	1	0	-1		glomerulonephritis, iga
GAD Gene-Disease Associations	gad	rheumatoid arthritis	0.013445	0.82191	1	0	1		rheumatoid arthritis
GAD Gene-Disease Associations	gad	asthma; bronchiolitis, viral; respiratory syncytial virus infections	0.0020953	1	1	0	1		asthma; bronchiolitis, viral; respiratory syncytial virus infections
GAD Gene-Disease Associations	gad	cystic fibrosis	0.041732	0.20507	1	0	1		cystic fibrosis
GAD Gene-Disease Associations	gad	bone density	0.02235	0.61723	1	0	1		bone density
GAD Gene-Disease Associations	gad	metabolic syndrome	-0.044526	0.38444	1	0	-1		metabolic syndrome
GAD Gene-Disease Associations	gad	bone resorption	0.012048	0.59942	1	0	1		bone resorption
GAD Gene-Disease Associations	gad	osteoporosis, postmenopausal	0.016763	0.77175	1	0	1		osteoporosis, postmenopausal
GAD Gene-Disease Associations	gad	diabetes complications;	0.02008	0.3631	1	0	1		diabetes complications;
GAD Gene-Disease Associations	gad	cardiovascular diseases; fam hyperbetalipoproteinaemia; hyperlipoproteinemia type ii	-0.0064606	1	1	0	-1		cardiovascular diseases; fam hyperbetalipoproteinaemia; hyperlipoproteinemia type ii
GAD Gene-Disease Associations	gad	lipid levels	-0.0024446	1	1	0	-1		lipid levels
GAD Gene-Disease Associations	gad	lipid profiles	0.0096036	0.70681	1	0	1		lipid profiles
GAD Gene-Disease Associations	gad	hypertriglyceridemia	-0.0024446	1	1	0	-1		hypertriglyceridemia
GAD Gene-Disease Associations	gad	coronary disease; coronary heart disease; inflammation; insulin resistance	0.0337	0.31229	1	0	1		coronary disease; coronary heart disease; inflammation; insulin resistance
GAD Gene-Disease Associations	gad	carotid artery diseases;	-0.0024446	1	1	0	-1		carotid artery diseases;
GAD Gene-Disease Associations	gad	angina pectoris; myocardial infarction; obesity; recurrence	0.036145	0.21566	1	0	1		angina pectoris; myocardial infarction; obesity; recurrence
GAD Gene-Disease Associations	gad	cardiovascular	0.041732	0.20718	1	0	1		cardiovascular
GAD Gene-Disease Associations	gad	acute coronary syndrome	0.057796	0.087809	1	0	1		acute coronary syndrome
GAD Gene-Disease Associations	gad	kidney failure	0.024096	0.34603	1	0	1		kidney failure
GAD Gene-Disease Associations	gad	renal graft function	0.012048	0.5986	1	0	1		renal graft function
GAD Gene-Disease Associations	gad	brain infarction	0.024096	0.34817	1	0	1		brain infarction
GAD Gene-Disease Associations	gad	lipoproteins, ldl	0.0015715	1	1	0	1		lipoproteins, ldl
GAD Gene-Disease Associations	gad	kidney failure, acute	0.012048	0.60057	1	0	1		kidney failure, acute
GAD Gene-Disease Associations	gad	cicatrization; kidney diseases; vesico-ureteral reflux; vesicoureteral reflux	0.012048	0.5977	1	0	1		cicatrization; kidney diseases; vesico-ureteral reflux; vesicoureteral reflux
GAD Gene-Disease Associations	gad	polycystic kidney disease	0.02008	0.36341	1	0	1		polycystic kidney disease
GAD Gene-Disease Associations	gad	essential hypertension	0.028112	0.21974	1	0	1		essential hypertension
GAD Gene-Disease Associations	gad	hypertension; cardiovascular disease	0.012048	0.59897	1	0	1		hypertension; cardiovascular disease
GAD Gene-Disease Associations	gad	chronic periodontitis;	0.028112	0.21914	1	0	1		chronic periodontitis;
GAD Gene-Disease Associations	gad	fetal membranes, premature rupture; premature birth	0.012048	0.59795	1	0	1		fetal membranes, premature rupture; premature birth
GAD Gene-Disease Associations	gad	heart failure; hypertension	0.012048	0.59795	1	0	1		heart failure; hypertension
GAD Gene-Disease Associations	gad	hypertrophy, left ventricular; left ventricular hypertrophy	0.02008	0.36385	1	0	1		hypertrophy, left ventricular; left ventricular hypertrophy
GAD Gene-Disease Associations	gad	infant, premature, diseases	0.016064	0.58325	1	0	1		infant, premature, diseases
GAD Gene-Disease Associations	gad	lupus nephritis; nephritis sle	0.0055876	1	1	0	1		lupus nephritis; nephritis sle
GAD Gene-Disease Associations	gad	syncope, vasovagal	0.028112	0.22147	1	0	1		syncope, vasovagal
GAD Gene-Disease Associations	gad	asthma; lipids; memory impairment	-0.0024446	1	1	0	-1		asthma; lipids; memory impairment
GAD Gene-Disease Associations	gad	kidney disease	0.024096	0.34831	1	0	1		kidney disease
GAD Gene-Disease Associations	gad	alzheimer disease; alzheimer's disease; dementia	0.012048	0.60102	1	0	1		alzheimer disease; alzheimer's disease; dementia
GAD Gene-Disease Associations	gad	breast neoplasms	-0.020953	0.2054	1	0	-1		breast neoplasms
GAD Gene-Disease Associations	gad	brain ischemia; dementia; myocardial infarction	-0.0024446	1	1	0	-1		brain ischemia; dementia; myocardial infarction
GAD Gene-Disease Associations	gad	maduromycosis	0.012048	0.59998	1	0	1		maduromycosis
GAD Gene-Disease Associations	gad	cervical neoplasm; uterine cervical neoplasms	0.016064	0.58044	1	0	1		cervical neoplasm; uterine cervical neoplasms
GAD Gene-Disease Associations	gad	intrauterine growth	0.012048	0.59944	1	0	1		intrauterine growth
GAD Gene-Disease Associations	gad	hypospadias	0.0015715	1	1	0	1		hypospadias
GAD Gene-Disease Associations	gad	stomach neoplasms	0.028811	0.43708	1	0	1		stomach neoplasms
GAD Gene-Disease Associations	gad	gastric cancer	0.01362	0.69327	1	0	1		gastric cancer
GAD Gene-Disease Associations	gad	stomach cancer	0.01362	0.69448	1	0	1		stomach cancer
GAD Gene-Disease Associations	gad	adenoma; colorectal neoplasms	0.021652	0.47146	1	0	1		adenoma; colorectal neoplasms
GAD Gene-Disease Associations	gad	dna damage	-0.0024446	1	1	0	-1		dna damage
GAD Gene-Disease Associations	gad	diabetic nephropathies; diabetic nephropathy	-0.0024446	1	1	0	-1		diabetic nephropathies; diabetic nephropathy
GAD Gene-Disease Associations	gad	skin cancer, non-melanoma	0.012048	0.59757	1	0	1		skin cancer, non-melanoma
GAD Gene-Disease Associations	gad	delirium	0.012048	0.59797	1	0	1		delirium
GAD Gene-Disease Associations	gad	emphysema	-0.0064606	1	1	0	-1		emphysema
GAD Gene-Disease Associations	gad	pulmonary disease, chronic obstructive	0.0038415	1	1	0	1		pulmonary disease, chronic obstructive
GAD Gene-Disease Associations	gad	alcohol abuse; smoking behavior	0.0055876	1	1	0	1		alcohol abuse; smoking behavior
GAD Gene-Disease Associations	gad	hearing loss	0.01362	0.69087	1	0	1		hearing loss
GAD Gene-Disease Associations	gad	rectal neoplasms	-0.0064606	1	1	0	-1		rectal neoplasms
GAD Gene-Disease Associations	gad	brain cancer	0.012048	0.59646	1	0	1		brain cancer
GAD Gene-Disease Associations	gad	esophageal cancer	0.039288	0.26781	1	0	1		esophageal cancer
GAD Gene-Disease Associations	gad	overall effect	0.012048	0.59918	1	0	1		overall effect
GAD Gene-Disease Associations	gad	alcoholism; liver cirrhosis, alcoholic	0.016064	0.58056	1	0	1		alcoholism; liver cirrhosis, alcoholic
