dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	RPL13A	-0.055517	0.0085499	0.83385	0	-1		RPL13A
BioGRID Protein-Protein Interactions	biogrid	RPS6	-0.042524	0.0091899	0.83385	0	-1		RPS6|RPL5|RPS4X|RPS24|RPS8|RPS2|RPS3
BioGRID Protein-Protein Interactions	biogrid	ALDH2	-0.044776	0.01082	0.8421	0	-1		ALDH2
BioGRID Protein-Protein Interactions	biogrid	SUMO2	-0.10142	0.01296	0.99988	0	-1		SUMO2
BioGRID Protein-Protein Interactions	biogrid	PPARGC1A	-0.0047461	1	1	0	-1		PPARGC1A
BioGRID Protein-Protein Interactions	biogrid	TRMT2A	-0.0065572	1	1	0	-1		TRMT2A
BioGRID Protein-Protein Interactions	biogrid	SMARCD3	-0.0023731	1	1	0	-1		SMARCD3
BioGRID Protein-Protein Interactions	biogrid	MAD2L1	-0.021483	0.21132	1	0	-1		MAD2L1
BioGRID Protein-Protein Interactions	biogrid	PRKACA	0.020921	0.35946	1	0	1		PRKACA
BioGRID Protein-Protein Interactions	biogrid	DAXX	-0.017298	0.58912	1	0	-1		DAXX
BioGRID Protein-Protein Interactions	biogrid	HIST1H4A	-0.040592	0.03434	1	0	-1		HIST1H4A
BioGRID Protein-Protein Interactions	biogrid	PAXIP1	-0.032224	0.12007	1	0	-1		PAXIP1
BioGRID Protein-Protein Interactions	biogrid	RARA	-0.025667	0.12211	1	0	-1		RARA
BioGRID Protein-Protein Interactions	biogrid	BAZ1B	-0.0023731	1	1	0	-1		BAZ1B
BioGRID Protein-Protein Interactions	biogrid	PTK2	-0.030413	0.2665	1	0	-1		PTK2
BioGRID Protein-Protein Interactions	biogrid	CAV1	0.045463	0.26358	1	0	1		CAV1
BioGRID Protein-Protein Interactions	biogrid	GSTK1	-0.025667	0.12173	1	0	-1		GSTK1
BioGRID Protein-Protein Interactions	biogrid	PTGS2	0.012552	0.59681	1	0	1		PTGS2
BioGRID Protein-Protein Interactions	biogrid	NUMB	-0.025667	0.12315	1	0	-1		NUMB
BioGRID Protein-Protein Interactions	biogrid	TIRAP	-0.0065572	1	1	0	-1		TIRAP
BioGRID Protein-Protein Interactions	biogrid	VTN	-0.021483	0.21141	1	0	-1		VTN
BioGRID Protein-Protein Interactions	biogrid	CUL1	-0.00056204	1	1	0	-1		CUL1
BioGRID Protein-Protein Interactions	biogrid	CUL4B	0.001811	1	1	0	1		CUL4B
BioGRID Protein-Protein Interactions	biogrid	HUWE1	-0.034597	0.23546	1	0	-1		HUWE1
BioGRID Protein-Protein Interactions	biogrid	GRK5	0.020921	0.36168	1	0	1		GRK5
BioGRID Protein-Protein Interactions	biogrid	CEP250	-0.0065572	1	1	0	-1		CEP250
BioGRID Protein-Protein Interactions	biogrid	CEP76	0.012552	0.59653	1	0	1		CEP76
BioGRID Protein-Protein Interactions	biogrid	ELAVL1	-0.018423	0.7935	1	0	-1		ELAVL1
BioGRID Protein-Protein Interactions	biogrid	NOTCH1	-0.025667	0.12279	1	0	-1		NOTCH1
BioGRID Protein-Protein Interactions	biogrid	HACE1	-0.0065572	1	1	0	-1		HACE1
BioGRID Protein-Protein Interactions	biogrid	CENPB	-0.040592	0.03347	1	0	-1		CENPB
BioGRID Protein-Protein Interactions	biogrid	RXRA	-0.030413	0.26489	1	0	-1		RXRA
BioGRID Protein-Protein Interactions	biogrid	SMAD2	0.010179	0.70725	1	0	1		SMAD2
BioGRID Protein-Protein Interactions	biogrid	HR	0.012552	0.59477	1	0	1		HR
BioGRID Protein-Protein Interactions	biogrid	BMPR1B	-0.021483	0.21219	1	0	-1		BMPR1B
BioGRID Protein-Protein Interactions	biogrid	RPS5	-0.025667	0.12134	1	0	-1		RPS5
BioGRID Protein-Protein Interactions	biogrid	RPS20	-0.040592	0.03384	1	0	-1		RPS20
BioGRID Protein-Protein Interactions	biogrid	RPSA	-0.040592	0.03406	1	0	-1		RPSA
BioGRID Protein-Protein Interactions	biogrid	RAD23B	-0.0065572	1	1	0	-1		RAD23B
BioGRID Protein-Protein Interactions	biogrid	QARS	-0.025667	0.12174	1	0	-1		QARS
BioGRID Protein-Protein Interactions	biogrid	MARS	-0.025667	0.12173	1	0	-1		MARS
BioGRID Protein-Protein Interactions	biogrid	RPL26	-0.040592	0.03455	1	0	-1		RPL26
BioGRID Protein-Protein Interactions	biogrid	MRTO4	-0.0065572	1	1	0	-1		MRTO4
BioGRID Protein-Protein Interactions	biogrid	PPP2R5C	-0.0065572	1	1	0	-1		PPP2R5C
BioGRID Protein-Protein Interactions	biogrid	MST4	-0.0065572	1	1	0	-1		MST4
BioGRID Protein-Protein Interactions	biogrid	PPP2CA	-0.036408	0.071029	1	0	-1		PPP2CA
BioGRID Protein-Protein Interactions	biogrid	SKP1	0.012552	0.59563	1	0	1		SKP1
BioGRID Protein-Protein Interactions	biogrid	NR1H3	-0.0065572	1	1	0	-1		NR1H3
BioGRID Protein-Protein Interactions	biogrid	EIF3F	-0.051333	0.02228	1	0	-1		EIF3F
BioGRID Protein-Protein Interactions	biogrid	RBX1	-0.0065572	1	1	0	-1		RBX1
BioGRID Protein-Protein Interactions	biogrid	TPM3	-0.0065572	1	1	0	-1		TPM3
BioGRID Protein-Protein Interactions	biogrid	ERBB2	0.001811	1	1	0	1		ERBB2
BioGRID Protein-Protein Interactions	biogrid	PLCG1	-0.00056204	1	1	0	-1		PLCG1
BioGRID Protein-Protein Interactions	biogrid	SH2B2	0.016736	0.57846	1	0	1		SH2B2
BioGRID Protein-Protein Interactions	biogrid	IRS1	0.010179	0.70311	1	0	1		IRS1
BioGRID Protein-Protein Interactions	biogrid	FYN	-0.047711	0.20835	1	0	-1		FYN
BioGRID Protein-Protein Interactions	biogrid	ABL2	-0.0065572	1	1	0	-1		ABL2
BioGRID Protein-Protein Interactions	biogrid	MED17	-0.025667	0.1205	1	0	-1		MED17
BioGRID Protein-Protein Interactions	biogrid	MED23	-0.021483	0.20746	1	0	-1		MED23
BioGRID Protein-Protein Interactions	biogrid	FHL2	-0.021483	0.20823	1	0	-1		FHL2
BioGRID Protein-Protein Interactions	biogrid	SMAD1	-0.0065572	1	1	0	-1		SMAD1
BioGRID Protein-Protein Interactions	biogrid	NEDD4L	0.012552	0.59795	1	0	1		NEDD4L
BioGRID Protein-Protein Interactions	biogrid	PSMC5	0.010179	0.70184	1	0	1		PSMC5
BioGRID Protein-Protein Interactions	biogrid	STXBP5L	-0.017298	0.5881	1	0	-1		STXBP5L
BioGRID Protein-Protein Interactions	biogrid	TTR	-0.0065572	1	1	0	-1		TTR
BioGRID Protein-Protein Interactions	biogrid	CEBPB	0.025105	0.34674	1	0	1		CEBPB
BioGRID Protein-Protein Interactions	biogrid	SYVN1	-0.047149	0.0434	1	0	-1		SYVN1
BioGRID Protein-Protein Interactions	biogrid	DERL1	-0.00056204	1	1	0	-1		DERL1
BioGRID Protein-Protein Interactions	biogrid	CAPRIN1	-0.0065572	1	1	0	-1		CAPRIN1
BioGRID Protein-Protein Interactions	biogrid	RPL8	-0.036408	0.072199	1	0	-1		RPL8
BioGRID Protein-Protein Interactions	biogrid	EEF1A1	-0.015487	0.69603	1	0	-1		EEF1A1
BioGRID Protein-Protein Interactions	biogrid	U2AF2	-0.0065572	1	1	0	-1		U2AF2
BioGRID Protein-Protein Interactions	biogrid	APRT	-0.040592	0.03368	1	0	-1		APRT
BioGRID Protein-Protein Interactions	biogrid	UBAP2L	-0.025667	0.12094	1	0	-1		UBAP2L
BioGRID Protein-Protein Interactions	biogrid	RBM39	-0.032224	0.11933	1	0	-1		RBM39
BioGRID Protein-Protein Interactions	biogrid	NDUFA5	-0.025667	0.1214	1	0	-1		NDUFA5
BioGRID Protein-Protein Interactions	biogrid	SIGIRR	-0.0065572	1	1	0	-1		SIGIRR
BioGRID Protein-Protein Interactions	biogrid	GADD45GIP1	-0.021483	0.20681	1	0	-1		GADD45GIP1
BioGRID Protein-Protein Interactions	biogrid	DYNC1H1	-0.036408	0.071229	1	0	-1		DYNC1H1
BioGRID Protein-Protein Interactions	biogrid	MAPKAPK2	-0.021483	0.20902	1	0	-1		MAPKAPK2
BioGRID Protein-Protein Interactions	biogrid	CSNK1E	-0.0065572	1	1	0	-1		CSNK1E
BioGRID Protein-Protein Interactions	biogrid	MTOR	-0.0023731	1	1	0	-1		MTOR
BioGRID Protein-Protein Interactions	biogrid	RUVBL1	0.022732	0.46894	1	0	1		RUVBL1
BioGRID Protein-Protein Interactions	biogrid	DIMT1	-0.040592	0.03368	1	0	-1		DIMT1
BioGRID Protein-Protein Interactions	biogrid	CDC25B	-0.0023731	1	1	0	-1		CDC25B
BioGRID Protein-Protein Interactions	biogrid	KEAP1	-0.0065572	1	1	0	-1		KEAP1
BioGRID Protein-Protein Interactions	biogrid	PAK1	-0.0065572	1	1	0	-1		PAK1
BioGRID Protein-Protein Interactions	biogrid	USP7	0.012552	0.59857	1	0	1		USP7
BioGRID Protein-Protein Interactions	biogrid	PTPLAD1	0.012552	0.59858	1	0	1		PTPLAD1
BioGRID Protein-Protein Interactions	biogrid	GCN1L1	-0.025667	0.12173	1	0	-1		GCN1L1
BioGRID Protein-Protein Interactions	biogrid	RPN2	0.012552	0.59846	1	0	1		RPN2
