dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Anovulation	9.4121e-05	0.81126	1	0	1		Anovulation
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Bacteroides Infections	-3.6836e-05	0.80008	1	0	-1		Bacteroides Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Urogenital Neoplasms	-0.00028844	0.61508	1	0	-1		Urogenital Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Lymphoma, Follicular	-0.0097248	0.32667	1	0	-1		Lymphoma, Follicular
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Leukoencephalopathies	-0.0013015	0.39942	1	0	-1		Leukoencephalopathies
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Sleep Apnea, Obstructive	0.0045023	0.3668	1	0	1		Sleep Apnea, Obstructive
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hyperthyroxinemia	-0.00022364	0.20383	1	0	-1		Hyperthyroxinemia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Gait Apraxia	6.8263e-05	0.59782	1	0	1		Gait Apraxia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Splenic Diseases	-0.00056608	0.61721	1	0	-1		Splenic Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Mastocytosis, Systemic	-0.010118	0.15559	1	0	-1		Mastocytosis, Systemic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Retroperitoneal Neoplasms	-0.00012071	0.35798	1	0	-1		Retroperitoneal Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Keratitis	0.0034991	0.74978	1	0	1		Keratitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Esophagitis	0.003379	0.76312	1	0	1		Esophagitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Trauma, Nervous System	-0.00058531	0.0091899	1	0	-1		Trauma, Nervous System
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Infection	0.0044939	0.41286	1	0	1		Infection
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Primary Myelofibrosis	2.2255e-05	0.97436	1	0	1		Primary Myelofibrosis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Tetanus	0.0002003	0.47143	1	0	1		Tetanus
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Bacteremia	0.0037358	0.69887	1	0	1		Bacteremia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Giant Cell Tumor of Bone	-0.00010842	0.59638	1	0	-1		Giant Cell Tumor of Bone
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cholestasis, progressive familial intrahepatic 3	-0.00031235	0.083379	1	0	-1		Cholestasis, progressive familial intrahepatic 3
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Holoprosencephaly	-0.0003227	0.26998	1	0	-1		Holoprosencephaly
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Fibrous Dysplasia of Bone	1.1656e-05	0.83691	1	0	1		Fibrous Dysplasia of Bone
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Mite Infestations	-0.00056581	0.03371	1	0	-1		Mite Infestations
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Glioma	-0.021435	0.23312	1	0	-1		Glioma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Tourette Syndrome	0.0032716	0.77384	1	0	1		Tourette Syndrome
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Failed Back Surgery Syndrome	8.8734e-05	0.49876	1	0	1		Failed Back Surgery Syndrome
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Body Temperature Changes	-0.00035491	0.27673	1	0	-1		Body Temperature Changes
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Mixed Connective Tissue Disease	-0.00023594	0.31913	1	0	-1		Mixed Connective Tissue Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cerebral Arterial Diseases	0.00068101	0.01195	1	0	1		Cerebral Arterial Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Compartment Syndromes	-0.0011239	0.24245	1	0	-1		Compartment Syndromes
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Rosacea	0.00017212	0.8386	1	0	1		Rosacea
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Vision, Low	-8.6432e-05	0.8458	1	0	-1		Vision, Low
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Arrhythmia, Sinus	0.00069784	0.31354	1	0	1		Arrhythmia, Sinus
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Voice Disorders	-0.00015295	0.66444	1	0	-1		Voice Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Liver Abscess, Amebic	-0.0002457	0.37132	1	0	-1		Liver Abscess, Amebic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Abruptio Placentae	0.0031411	0.93714	1	0	1		Abruptio Placentae
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Bone Marrow failure syndromes	-0.0016005	0.098899	1	0	-1		Bone Marrow failure syndromes
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Vocal Cord Paralysis	-0.0011925	0.066029	1	0	-1		Vocal Cord Paralysis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Central Nervous System Diseases	0.0023169	0.78591	1	0	1		Central Nervous System Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Anemia	0.0074216	0.72835	1	0	1		Anemia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Testicular Diseases	-0.0036061	0.19345	1	0	-1		Testicular Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Polydactyly	7.2555e-07	0.99672	1	0	1		Polydactyly
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Fractures, Bone	0.003707	0.74739	1	0	1		Fractures, Bone
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Adjustment Disorders	-7.8103e-05	0.54438	1	0	-1		Adjustment Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Salivary Gland Neoplasms	0.002967	0.95474	1	0	1		Salivary Gland Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Fibroadenoma	-1.3335e-05	0.98453	1	0	-1		Fibroadenoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Auditory Perceptual Disorders	-0.014708	0.02021	1	0	-1		Auditory Perceptual Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Gliosarcoma	0.0035262	0.90049	1	0	1		Gliosarcoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cardiomyopathy, Dilated	0.027292	0.14016	1	0	1		Cardiomyopathy, Dilated
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Alstrom Syndrome	0.0004545	0.19182	1	0	1		Alstrom Syndrome
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Schistosomiasis	-0.00033249	0.00368	1	0	-1		Schistosomiasis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Autoimmune Lymphoproliferative Syndrome	-0.00013474	0.052029	1	0	-1		Autoimmune Lymphoproliferative Syndrome
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Uveitis	-0.00027622	0.78138	1	0	-1		Uveitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hypercalcemia	0.026272	0.211	1	0	1		Hypercalcemia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Malaria	-0.0024439	0.74103	1	0	-1		Malaria
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Dengue	-0.00022271	0.39425	1	0	-1		Dengue
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Arthritis, Juvenile	-0.00059533	0.43351	1	0	-1		Arthritis, Juvenile
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	-0.00060837	0.53059	1	0	-1		Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Epileptic encephalopathy, Lennox-Gastaut type	-8.9171e-05	0.53011	1	0	-1		Epileptic encephalopathy, Lennox-Gastaut type
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Wernicke Encephalopathy	-3.0764e-05	0.87257	1	0	-1		Wernicke Encephalopathy
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Thyrotoxicosis	-0.013948	0.092989	1	0	-1		Thyrotoxicosis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Aneurysm, Dissecting	0.004019	0.5258	1	0	1		Aneurysm, Dissecting
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cachexia	0.0012663	0.84492	1	0	1		Cachexia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Schistosomiasis mansoni	-0.0060405	0.86255	1	0	-1		Schistosomiasis mansoni
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cholangitis	0.0030853	0.79307	1	0	1		Cholangitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Dysarthria	0.00060936	0.75662	1	0	1		Dysarthria
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Ciguatera Poisoning	-0.00014651	0.40454	1	0	-1		Ciguatera Poisoning
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Ventricular Dysfunction	0.023028	0.22594	1	0	1		Ventricular Dysfunction
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Meningitis, Cryptococcal	0.00029742	0.51611	1	0	1		Meningitis, Cryptococcal
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Diabetes Mellitus, Type 1	0.00092815	0.89522	1	0	1		Diabetes Mellitus, Type 1
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Dermatitis, Atopic	0.02266	0.25072	1	0	1		Dermatitis, Atopic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Leishmaniasis	0.01122	0.57254	1	0	1		Leishmaniasis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hepatitis, Alcoholic	0.0041742	0.35398	1	0	1		Hepatitis, Alcoholic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Neuroblastoma	-0.015812	0.0070099	1	0	-1		Neuroblastoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Discitis	-0.0003838	0.23373	1	0	-1		Discitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Postpartum Hemorrhage	0.00047149	0.27614	1	0	1		Postpartum Hemorrhage
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Gas Poisoning	-4.4264e-05	0.95257	1	0	-1		Gas Poisoning
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Brain Ischemia	-0.031161	0.34942	1	0	-1		Brain Ischemia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Scleroderma, Diffuse	-0.00040967	0.64447	1	0	-1		Scleroderma, Diffuse
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Heavy Metal Toxicity	-0.0015682	0.22755	1	0	-1		Heavy Metal Toxicity
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hemostatic Disorders	0.00030714	0.62519	1	0	1		Hemostatic Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Striatonigral Degeneration	-0.00092055	0.072269	1	0	-1		Striatonigral Degeneration
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Coronary Occlusion	-0.00032	0.67878	1	0	-1		Coronary Occlusion
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Acrocephalosyndactylia	0.0038897	0.57512	1	0	1		Acrocephalosyndactylia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Urination Disorders	0.00087113	0.62941	1	0	1		Urination Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Acute-Phase Reaction	-0.0005042	0.013	1	0	-1		Acute-Phase Reaction
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	VLCAD deficiency	-6.1911e-05	0.78166	1	0	-1		VLCAD deficiency
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Alopecia Areata	0.0082266	0.40016	1	0	1		Alopecia Areata
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Intracranial Thrombosis	0.011668	0.33169	1	0	1		Intracranial Thrombosis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Pseudohypoparathyroidism	0.00050115	0.01085	1	0	1		Pseudohypoparathyroidism
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Segawa syndrome, autosomal recessive	0.00014849	0.40987	1	0	1		Segawa syndrome, autosomal recessive
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Nasopharyngeal Neoplasms	0.0065874	0.96343	1	0	1		Nasopharyngeal Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Pericarditis	0.00064486	0.56491	1	0	1		Pericarditis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hearing Loss	-0.0072744	0.69499	1	0	-1		Hearing Loss
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Urinary Tract Infections	0.0039568	0.54638	1	0	1		Urinary Tract Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Bronchial Diseases	-0.0058746	0.85805	1	0	-1		Bronchial Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Fetal Alcohol Spectrum Disorders	-0.00037675	0.51984	1	0	-1		Fetal Alcohol Spectrum Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Prostatitis	0.00089804	0.47662	1	0	1		Prostatitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Intrahepatic Cholestasis of Pregnancy	0.004022	0.34106	1	0	1		Intrahepatic Cholestasis of Pregnancy
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Sensation Disorders	-0.0018133	0.11331	1	0	-1		Sensation Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cadmium Poisoning	0.00052693	0.56325	1	0	1		Cadmium Poisoning
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Taste Disorders	-0.0011181	0.34254	1	0	-1		Taste Disorders
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Flushing	0.0071545	0.77042	1	0	1		Flushing
